Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
moni-large-hoop-earrings,Moni Large Hoop Earrings,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Big Circle Punk Hoop Earrings.</p>
<p class=""p1"" data-mce-fragment=""1"">MAKE SURE TO READ OUR<span data-mce-fragment=""1""> </span><a href=""https://www.shopmuses.com/pages/jewellry-care"" data-mce-fragment=""1"" data-mce-href=""https://www.shopmuses.com/pages/jewellry-care"">JEWEL CARE INSTRUCTIONS<span data-mce-fragment=""1""> </span></a>FOR HOW TO PROPERLY CARE FOR YOUR JEWELLERY. </p>
<ul class=""ul1"" data-mce-fragment=""1"">
<li class=""li1"" data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">High resistance, tarnish-free</span></li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Material: Copper</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>18k Gold plated</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Lead &amp; Nickel free</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Size: 6.2cm x 6cm</li>
</ul>",MUSES.,Earrings,"earrings, hoop earrings, jewellery, new in, vintage",true,Title,Default Title,,,,,"",0.0,shopify,2,deny,manual,12.00,,true,false,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5227.jpg?v=1610111888,1,,false,,,,,,,,,,,,,,,,,lb,,3.13,active
moni-large-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/d094f9da-eae5-4018-8e9c-f833e2e95436.jpg?v=1610111888,2,,,,,,,,,,,,,,,,,,,,,,
moni-large-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5226.jpg?v=1610111888,3,,,,,,,,,,,,,,,,,,,,,,
moni-large-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/a031d3a6-27f8-4b57-9ed5-7efe581e9851.jpg?v=1610111888,4,,,,,,,,,,,,,,,,,,,,,,
mocha-vintage-hoop-earrings,Mocha Vintage Hoop Earrings,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Gorgeous and trendy Hoop Earrings.</p>
<p class=""p1"" data-mce-fragment=""1"">MAKE SURE TO READ OUR<span data-mce-fragment=""1""> </span><a href=""https://www.shopmuses.com/pages/jewellry-care"" data-mce-fragment=""1"" data-mce-href=""https://www.shopmuses.com/pages/jewellry-care"">JEWEL CARE INSTRUCTIONS<span data-mce-fragment=""1""> </span></a>FOR HOW TO PROPERLY CARE FOR YOUR JEWELLERY. </p>
<ul class=""ul1"" data-mce-fragment=""1"">
<li class=""li1"" data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">High resistance, tarnish-free</span></li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Material: Copper</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>18k Gold plated</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Lead &amp; Nickel free</li>
</ul>",MUSES.,Earrings,"earrings, hoop earrings, jewellery, new in, vintage",true,Title,Default Title,,,,,"",0.0,shopify,2,deny,manual,10.00,,true,false,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5228.jpg?v=1610111591,1,,false,Vintage Hoop Earrings,,,,,,,,,,,,,,,,lb,,2.81,active
mocha-vintage-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/6fba75af-3da6-4736-bd2f-258f57dfb27b.jpg?v=1610111591,2,,,,,,,,,,,,,,,,,,,,,,
mocha-vintage-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_5229.jpg?v=1610111591,3,,,,,,,,,,,,,,,,,,,,,,
mocha-vintage-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/e494a24b-9f72-4bf7-abe5-e3a82a01db96.jpg?v=1610111591,4,,,,,,,,,,,,,,,,,,,,,,
c-shape-hoop-earrings,C-shape Hoop Earrings,"<meta charset=""utf-8"">
<p class=""p1"" data-mce-fragment=""1"">Very gorgeous and minimalist C-shape earrings </p>
<p class=""p1"" data-mce-fragment=""1"">MAKE SURE TO READ OUR<span data-mce-fragment=""1""> </span><a href=""https://www.shopmuses.com/pages/jewellry-care"" data-mce-fragment=""1"" target=""_blank"" data-mce-href=""https://www.shopmuses.com/pages/jewellry-care"">JEWEL CARE INSTRUCTIONS</a><span data-mce-fragment=""1""> </span>FOR HOW TO PROPERLY CARE FOR YOUR JEWELLERY. </p>
<ul class=""ul1"" data-mce-fragment=""1"">
<li class=""li1"" data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">High resistance &amp; Tarnish-free</span></li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Material: Stainless Steel</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>18k Gold plated</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>Lead &amp; Nickel free</li>
<li class=""li1"" data-mce-fragment=""1"">
<span class=""s1"" data-mce-fragment=""1""></span>N.W: 8.4g</li>
<li class=""li1"" data-mce-fragment=""1"">Size: 36mm x 6mm</li>
</ul>",MUSES.,Earrings,"earrings, hoop earrings, new in, vintage",true,Title,Default Title,,,,,"",8.4,shopify,3,deny,manual,10.00,,true,false,"",https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8620.jpg?v=1610111916,1,,false,,,,,,,,,,,,,,,,,g,,2.68,active
c-shape-hoop-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0502/3016/5669/products/IMG_8619.jpg?v=1610111916,2,,,,,,,,,,,,,,,,,,,,,,
